Potential(V)	Current(uA)
0.19	-0.02697
0.191	-0.01318
0.192	0.01428
0.193	0.02387
0.194	0.02329
0.195	0.03536
0.196	0.04666
0.197	0.05143
0.198	0.06239
0.199	0.07365
0.2	0.07165
0.201	0.07937
0.202	0.08709
0.203	0.08557
0.204	0.09658
0.205	0.1088
0.206	0.1049
0.207	0.1203
0.208	0.1271
0.209	0.1398
0.21	0.1441
0.211	0.1405
0.212	0.1494
0.213	0.1544
0.214	0.1587
0.215	0.1549
0.216	0.1557
0.217	0.1764
0.218	0.1896
0.219	0.186
0.22	0.1993
0.221	0.1928
0.222	0.2008
0.223	0.2069
0.224	0.2155
0.225	0.2238
0.226	0.2261
0.227	0.2339
0.228	0.2431
0.229	0.2425
0.23	0.2492
0.231	0.2623
0.232	0.2591
0.233	0.2698
0.234	0.2757
0.235	0.2789
0.236	0.2885
0.237	0.3012
0.238	0.2982
0.239	0.3068
0.24	0.3079
0.241	0.3166
0.242	0.3136
0.243	0.3308
0.244	0.3329
0.245	0.336
0.246	0.3545
0.247	0.3551
0.248	0.359
0.249	0.3651
0.249	0.3831
0.251	0.381
0.252	0.3876
0.252	0.3894
0.253	0.4026
0.254	0.4141
0.256	0.4028
0.256	0.4126
0.257	0.4211
0.258	0.429
0.259	0.4338
0.26	0.4298
0.261	0.4438
0.262	0.4481
0.263	0.4529
0.264	0.456
0.265	0.4678
0.266	0.4729
0.267	0.4737
0.268	0.4802
0.269	0.4862
0.27	0.489
0.271	0.515
0.272	0.5204
0.273	0.5111
0.274	0.5157
0.275	0.5332
0.276	0.5326
0.277	0.5408
0.278	0.5383
0.279	0.5512
0.28	0.5522
0.281	0.5564
0.282	0.5575
0.283	0.5645
0.284	0.5679
0.285	0.5924
0.286	0.5799
0.287	0.6031
0.288	0.5959
0.289	0.6116
0.29	0.6037
0.291	0.6216
0.292	0.6258
0.293	0.6324
0.294	0.6309
0.295	0.6476
0.296	0.6519
0.297	0.6534
0.298	0.6628
0.299	0.6717
0.3	0.6743
0.301	0.6791
0.302	0.6839
0.303	0.6867
0.304	0.6907
0.305	0.6914
0.306	0.6897
0.307	0.6954
0.308	0.7063
0.309	0.7071
0.31	0.7276
0.311	0.7407
0.312	0.7359
0.313	0.7381
0.314	0.7497
0.315	0.7629
0.316	0.762
0.317	0.7642
0.318	0.7684
0.319	0.7694
0.32	0.7784
0.321	0.7881
0.322	0.7872
0.323	0.7896
0.324	0.7887
0.325	0.7968
0.326	0.8006
0.327	0.8064
0.328	0.8119
0.329	0.817
0.33	0.8344
0.331	0.8295
0.332	0.8371
0.333	0.8383
0.334	0.847
0.335	0.8483
0.336	0.8529
0.337	0.8596
0.338	0.8737
0.339	0.8748
0.34	0.8693
0.341	0.8786
0.342	0.8853
0.343	0.8853
0.344	0.8955
0.345	0.9014
0.346	0.9009
0.347	0.8957
0.348	0.897
0.349	0.9105
0.35	0.9165
0.351	0.9225
0.352	0.9261
0.353	0.9336
0.354	0.9296
0.355	0.9362
0.356	0.9379
0.357	0.9461
0.358	0.9506
0.359	0.9615
0.36	0.9541
0.361	0.9671
0.362	0.9667
0.363	0.9807
0.364	0.9805
0.365	0.9844
0.366	0.9875
0.367	0.9891
0.368	0.9993
0.369	0.9967
0.369	1.006
0.371	1.006
0.372	1.016
0.373	1.012
0.373	1.019
0.374	1.031
0.376	1.022
0.376	1.038
0.377	1.038
0.378	1.044
0.379	1.046
0.38	1.045
0.381	1.043
0.382	1.046
0.383	1.057
0.384	1.052
0.385	1.064
0.386	1.071
0.387	1.077
0.388	1.082
0.389	1.079
0.39	1.084
0.391	1.089
0.392	1.088
0.393	1.094
0.394	1.105
0.395	1.108
0.396	1.097
0.397	1.104
0.398	1.115
0.399	1.126
0.4	1.122
0.401	1.127
0.402	1.13
0.403	1.131
0.404	1.142
0.405	1.154
0.406	1.147
0.407	1.148
0.408	1.149
0.409	1.154
0.41	1.164
0.411	1.163
0.412	1.165
0.413	1.171
0.414	1.166
0.415	1.177
0.416	1.191
0.417	1.186
0.418	1.2
0.419	1.189
0.42	1.201
0.421	1.2
0.422	1.207
0.423	1.211
0.424	1.207
0.425	1.215
0.426	1.231
0.427	1.217
0.428	1.23
0.429	1.226
0.43	1.23
0.431	1.247
0.432	1.251
0.433	1.252
0.434	1.257
0.435	1.256
0.436	1.252
0.437	1.252
0.438	1.262
0.439	1.276
0.44	1.275
0.441	1.282
0.442	1.286
0.443	1.284
0.444	1.285
0.445	1.293
0.446	1.304
0.447	1.301
0.448	1.312
0.449	1.312
0.45	1.316
0.451	1.319
0.452	1.314
0.453	1.326
0.454	1.333
0.455	1.332
0.456	1.333
0.457	1.337
0.458	1.347
0.459	1.345
0.46	1.352
0.461	1.359
0.462	1.357
0.463	1.36
0.464	1.372
0.465	1.375
0.466	1.37
0.467	1.375
0.468	1.387
0.469	1.379
0.47	1.384
0.471	1.389
0.472	1.4
0.473	1.406
0.474	1.404
0.475	1.404
0.476	1.412
0.477	1.425
0.478	1.425
0.479	1.428
0.48	1.427
0.481	1.436
0.482	1.444
0.483	1.446
0.484	1.444
0.485	1.446
0.486	1.456
0.487	1.458
0.488	1.462
0.489	1.466
0.49	1.473
0.491	1.472
0.492	1.483
0.493	1.482
0.493	1.489
0.494	1.482
0.496	1.491
0.496	1.494
0.497	1.496
0.498	1.501
0.499	1.507
0.5	1.517
0.501	1.515
0.502	1.515
0.503	1.519
0.504	1.529
0.505	1.527
0.506	1.531
0.507	1.534
0.508	1.539
0.509	1.54
0.51	1.55
0.511	1.555
0.512	1.561
0.513	1.568
0.514	1.562
0.515	1.568
0.516	1.571
0.517	1.58
0.518	1.586
0.519	1.59
0.52	1.597
0.521	1.595
0.522	1.599
0.523	1.609
0.524	1.616
0.525	1.621
0.526	1.619
0.527	1.628
0.528	1.628
0.529	1.638
0.53	1.64
0.531	1.645
0.532	1.652
0.533	1.659
0.534	1.663
0.535	1.674
0.536	1.68
0.537	1.687
0.538	1.7
0.539	1.699
0.54	1.701
0.541	1.711
0.542	1.711
0.543	1.717
0.544	1.721
0.545	1.725
0.546	1.735
0.547	1.747
0.548	1.752
0.549	1.761
0.55	1.76
0.551	1.773
0.552	1.793
0.553	1.777
0.554	1.77
0.555	1.771
0.556	1.787
0.557	1.79
0.558	1.794
0.559	1.796
0.56	1.81
0.561	1.815
0.562	1.816
0.563	1.819
0.564	1.829
0.565	1.836
0.566	1.847
0.567	1.843
0.568	1.854
0.569	1.866
0.57	1.864
0.571	1.873
0.572	1.883
0.573	1.887
0.574	1.897
0.575	1.907
0.576	1.91
0.577	1.916
0.578	1.915
0.579	1.921
0.58	1.928
0.581	1.939
0.582	1.942
0.583	1.95
0.584	1.955
0.585	1.974
0.586	1.971
0.587	1.974
0.588	1.983
0.589	1.999
0.59	2.009
0.591	2.008
0.592	2.014
0.593	2.031
0.594	2.041
0.595	2.05
0.596	2.072
0.597	2.074
0.598	2.114
0.599	2.146
0.6	2.122
0.601	2.109
0.602	2.119
0.603	2.132
0.604	2.137
0.605	2.151
0.606	2.152
0.607	2.161
0.608	2.168
0.609	2.184
0.61	2.2
0.611	2.235
0.612	2.246
0.613	2.261
0.614	2.286
0.614	2.321
0.616	2.353
0.617	2.403
0.617	2.454
0.618	2.359
0.619	2.284
0.62	2.292
0.621	2.303
0.622	2.313
0.623	2.335
0.624	2.362
0.625	2.369
0.626	2.446
0.627	2.519
0.628	2.555
0.629	2.642
0.63	2.711
0.631	2.532
0.632	2.385
0.633	2.39
0.634	2.408
0.635	2.414
0.636	2.424
0.637	2.48
0.638	2.516
0.639	2.595
0.64	2.648
0.641	2.689
0.642	2.741
0.643	2.877
0.644	3.021
0.645	3.162
0.646	3.335
0.647	2.943
0.648	2.623
0.649	2.651
0.65	2.69
0.651	2.719
0.652	2.748
0.653	2.776
0.654	2.797
0.655	2.847
0.656	2.875
0.657	2.944
0.658	3.234
0.659	3.489
0.66	3.502
0.661	3.751
0.662	4.063
0.663	3.508
0.664	3.08
0.665	3.139
0.666	3.196
0.667	3.258
0.668	3.307
0.669	3.36
0.67	3.409
0.671	3.517
0.672	3.541
0.673	3.604
0.674	3.483
0.675	3.36
0.676	3.426
0.677	3.492
0.678	3.554
0.679	3.608
0.68	3.673
0.681	3.773
0.682	4.037
0.683	4.362
0.684	4.034
0.685	4.304
0.686	4.619
0.687	4.637
0.688	4.568
0.689	4.911
0.69	5.301
0.691	5.629
0.692	5.901
0.693	6.097
0.694	5.192
0.695	5.018
0.696	5.381
0.697	5.92
0.698	7.045
0.699	7.393
0.7	6.3
0.701	5.275
0.702	5.49
0.703	5.204
0.704	5.361
0.705	5.667
0.706	6.028
0.707	6.624
0.708	5.86
0.709	5.267
0.71	5.522
0.711	5.744
0.712	5.861
0.713	6.088
0.714	6.212
0.715	6.564
0.716	6.853
0.717	7.412
0.718	7.818
0.719	7.278
0.72	7.799
0.721	8.289
0.722	8.762
0.723	9.257
0.724	9.795
0.725	10.31
0.726	11.02
0.727	11.31
0.728	11.91
0.729	12.77
0.73	13.45
0.731	14.38
0.732	15.01
0.733	15.44
0.734	14.47
0.734	15.12
0.736	15.94
0.737	15.86
0.737	16.75
0.738	17.78
0.739	18.72
0.741	19.66
0.741	20.84
0.742	21.39
0.743	22.26
0.744	23.21
0.745	24.05
0.746	24.65
0.747	25.73
0.748	26.95
0.749	27.78
0.75	28.68
0.751	29.19
0.752	30.13
0.753	31.26
0.754	32.32
0.755	33.01
0.756	34.41
0.757	36.04
0.758	37.07
0.759	38.33
0.76	39.48
0.761	40.41
0.762	42.31
0.763	44.06
0.764	45.87
0.765	47.85
0.766	48.86
0.767	50.6
0.768	53.1
0.769	54.73
0.77	56.24
0.771	58.2
0.772	60.18
0.773	61.76
0.774	63.6
0.775	66.18
0.776	69.1
0.777	71.5
0.778	72.11
0.779	69.71
0.78	72.6
0.781	76
0.782	78.11
0.783	79.67
0.784	80.85
0.785	83.29
0.786	86.11
0.787	87.48
0.788	90
0.789	91.21
0.79	91.55
0.791	94.21
0.792	95.77
0.793	96.82
0.794	97.34
0.795	97.95
0.796	100.4
0.797	101.1
0.798	104.1
0.799	107.4
0.8	111
0.801	112.4
0.802	115.2
0.803	118
0.804	119.8
0.805	121.7
0.806	124.7
0.807	127.1
0.808	129.7
0.809	134
0.81	137.6
0.811	139.4
0.812	141.2
0.813	143.5
0.814	146.9
0.815	150.2
0.816	153.4
0.817	155.6
0.818	157.4
0.819	159.1
0.82	163
0.821	166.3
0.822	169.2
0.823	170.2
0.824	174
0.825	177.4
0.826	178.4
0.827	181.8
0.828	187.3
0.829	190
0.83	191.3
0.831	192.3
0.832	196
0.833	201.6
0.834	204.6
0.835	207.6
0.836	210.4
0.837	212.5
0.838	214.9
0.839	217.3
0.84	219.9
0.841	222.1
0.842	225.3
0.843	232.1
0.844	236.9
0.845	236.9
0.846	241.6
0.847	243.1
0.848	247.2
0.849	252.5
0.85	256.2
0.851	256.6
0.852	259.7
0.853	264.1
0.854	269.1
0.855	273.4
0.856	273.1
0.857	275
0.858	276.4
0.858	281.1
0.859	283.5
0.861	284.8
0.861	290.5
0.862	296.6
0.863	301.8
0.864	303.1
0.865	304
0.866	305.1
0.867	310.7
0.868	315
0.869	321.3
0.87	320.9
0.871	319.9
0.872	323.6
0.873	327.8
0.874	330.4
0.875	331.7
0.876	337
0.877	341.9
0.878	345.4
0.879	348.1
0.88	352.7
0.881	354.7
0.882	360.1
0.883	364.5
0.884	366.9
0.885	368.4
0.886	373.6
0.887	377.7
0.888	383.7
0.889	389.7
0.89	392.2
0.891	393.1
0.892	395.9
0.893	402.6
0.894	408.4
0.895	409.9
0.896	413
0.897	418.9
0.898	425.4
0.899	427.3
0.9	428.6
0.901	433.8
0.902	440.4
0.903	445.8
0.904	446.4
0.905	448.8
0.906	453.2
0.907	461.5
0.908	471.6
0.909	474.2
0.91	473.6
0.911	473.5
0.912	478.4
0.913	483.5
0.914	492.7
0.915	500.8
0.916	504.8
0.917	507
0.918	509.8
0.919	507.1
0.92	506.7
0.921	512
0.922	514.2
0.923	514.7
0.924	520.8
0.925	522.2
0.926	517.9
0.927	521.8
0.928	524.8
0.929	531.1
0.93	549.7
0.931	561.2
0.932	561
0.933	553.7
0.934	551.3
0.935	563.2
0.936	576.1
0.937	584.3
0.938	589.3
0.939	587.2
0.94	581.6
0.941	581.3
0.942	584.1
0.943	596.2
0.944	607
0.945	614.6
0.946	611
0.947	608.1
0.948	613.7
0.949	622.5
0.95	632.4
0.951	639.2
0.952	644.6
0.953	644.7
0.954	640
0.955	650.4
0.956	657
0.957	663
0.958	672.7
0.959	675
0.96	676.8
0.961	680.7
0.962	685.9
0.963	691.6
0.964	690.6
0.965	694.5
0.966	697.8
0.967	700.1
0.968	709.7
0.969	719
0.97	728.1
0.971	735.6
0.972	733.4
0.973	726.8
0.974	732.1
0.975	738.4
0.976	752.6
0.977	758.2
0.978	761.4
0.978	756.3
0.979	750.4
0.981	756.7
0.982	769.2
0.982	777.5
0.983	786.4
0.984	794
0.985	793.2
0.986	791.1
0.987	793.4
0.988	799.8
0.989	811.5
0.99	817.2
0.991	825.3
0.992	832.9
0.993	837
0.994	834.7
0.995	830.9
0.996	832.8
0.997	845.5
0.998	859.1
0.999	871.5
1	874.7
1.001	866
1.002	866.3
1.003	874.7
1.004	886.7
1.005	891.8
1.006	898
1.007	896.5
1.008	898.6
1.009	905.3
1.01	917
1.011	923.7
1.012	925.2
1.013	926.4
1.014	934.4
1.015	947.6
1.016	945.1
1.017	941.8
1.018	946.7
1.019	955.8
1.02	976.8
1.021	991.8
1.022	989.4
1.023	976.9
1.024	974.2
1.025	982.9
1.026	1004
1.027	1012
1.028	1012
1.029	1013
1.03	1021
1.031	1035
1.032	1044
1.033	1047
1.034	1047
1.035	1045
1.036	1051
1.037	1063
1.038	1077
1.039	1090
1.04	1093
1.041	1091
1.042	1091
1.043	1099
1.044	1121
1.045	1126
1.046	1130
1.047	1142
1.048	1151
1.049	1162
1.05	1170
1.051	1162
1.052	1169
1.053	1185
1.054	1191
1.055	1201
1.056	1218
1.057	1229
1.058	1224
1.059	1224
1.06	1233
1.061	1248
1.062	1260
1.063	1275
1.064	1277
1.065	1279
1.066	1281
1.067	1287
1.068	1309
1.069	1330
1.07	1335
1.071	1342
1.072	1352
1.073	1359
1.074	1366
1.075	1383
1.076	1405
1.077	1422
1.078	1427
1.079	1428
1.08	1434
1.081	1453
1.082	1470
1.083	1483
1.084	1500
1.085	1520
1.086	1535
1.087	1547
1.088	1546
1.089	1561
1.09	1583
1.091	1606
1.092	1616
1.093	1629
1.094	1641
1.095	1650
1.096	1672
1.097	1685
1.098	1704
1.099	1726
1.099	1732
1.101	1738
1.102	1758
1.102	1781
1.103	1797
1.104	1810
1.105	1824
1.106	1838
1.107	1850
1.108	1854
1.109	1872
1.11	1889
1.111	1905
1.112	1909
1.113	1915
1.114	1925
1.115	1938
1.116	1951
1.117	1962
1.118	1974
1.119	1985
1.12	2007
1.121	2017
1.122	2026
1.123	2031
1.124	2038
1.125	2051
1.126	2059
1.127	2066
1.128	2068
1.129	2067
1.13	2086
1.131	2103
1.132	2113
1.133	2133
1.134	2146
1.135	2145
1.136	2146
1.137	2152
1.138	2163
1.139	2182
1.14	2191
1.141	2199
1.142	2207
1.143	2217
1.144	2209
1.145	2205
1.146	2221
1.147	2242
1.148	2258
1.149	2249
1.15	2237
1.151	2233
1.152	2246
1.153	2267
1.154	2272
1.155	2263
1.156	2273
1.157	2279
1.158	2276
1.159	2267
1.16	2271
1.161	2289
1.162	2302
1.163	2303
1.164	2295
1.165	2286
1.166	2292
1.167	2307
1.168	2320
1.169	2320
1.17	2324
1.171	2335
1.172	2350
1.173	2352
1.174	2346
1.175	2349
1.176	2347
1.177	2343
1.178	2347
1.179	2356
1.18	2362
1.181	2361
1.182	2353
1.183	2353
1.184	2349
1.185	2335
1.186	2322
1.187	2326
1.188	2325
1.189	2322
1.19	2307
1.191	2288
1.192	2289
1.193	2284
1.194	2280
1.195	2275
1.196	2275
1.197	2267
1.198	2253
1.199	2250
1.2	2246
1.201	2226
1.202	2224
1.203	2220
1.204	2205
1.205	2203
1.206	2195
1.207	2196
1.208	2191
1.209	2192
1.21	2195
1.211	2193
1.212	2179
1.213	2164
1.214	2145
1.215	2140
1.216	2131
1.217	2124
1.218	2116
1.219	2098
1.219	2079
1.221	2073
1.222	2063
1.222	2053
1.223	2041
1.224	2031
1.226	2030
1.226	2022
1.227	2011
1.228	1993
1.229	1980
1.23	1965
1.231	1952
1.232	1938
1.233	1918
1.234	1917
1.235	1906
1.236	1882
1.237	1854
1.238	1830
1.239	1807
1.24	1790
1.241	1772
1.242	1748
1.243	1713
1.244	1687
1.245	1674
1.246	1664
1.247	1666
1.248	1676
1.249	1663
1.25	1642
1.251	1615
1.252	1603
1.253	1600
1.254	1595
1.255	1586
1.256	1567
1.257	1533
1.258	1514
1.259	1517
1.26	1525
1.261	1531
1.262	1525
1.263	1508
1.264	1492
1.265	1483
1.266	1481
1.267	1491
1.268	1496
1.269	1495
1.27	1485
1.271	1464
1.272	1462
1.273	1463
1.274	1477
1.275	1483
1.276	1478
1.277	1484
1.278	1477
1.279	1474
1.28	1471
1.281	1469
1.282	1467
1.283	1463
1.284	1461
1.285	1448
1.286	1438
1.287	1431
1.288	1428
1.289	1422
1.29	1411
1.291	1395
1.292	1379
1.293	1366
1.294	1347
1.295	1331
1.296	1314
1.297	1299
1.298	1272
1.299	1251
1.3	1235
1.301	1214
1.302	1199
1.303	1186
1.304	1179
1.305	1172
1.306	1163
1.307	1145
1.308	1132
1.309	1120
1.31	1112
1.311	1102
1.312	1096
1.313	1096
1.314	1097
1.315	1096
1.316	1085
1.317	1078
1.318	1076
1.319	1072
1.32	1079
1.321	1084
1.322	1090
1.323	1095
1.324	1099
1.325	1099
1.326	1100
1.327	1102
1.328	1101
1.329	1098
1.33	1091
1.331	1084
1.332	1077
1.333	1066
1.334	1061
1.335	1055
1.336	1049
1.337	1040
1.338	1032
1.339	1026
1.34	1022
1.341	1012
1.342	1006
1.343	1000
1.343	995.6
1.344	995.5
1.346	992.4
1.346	991.5
1.347	993.7
1.348	986.7
1.349	975
1.35	967.4
1.351	962.2
1.352	954
1.353	949.1
1.354	941.6
1.355	936.7
1.356	929.5
1.357	925.1
1.358	916.1
1.359	914.9
1.36	906.2
1.361	902.2
1.362	901.4
1.363	898.8
1.364	899
1.365	893.9
1.366	891.5
1.367	884.5
1.368	881
1.369	877.4
1.37	874.1
1.371	872.4
1.372	866.8
1.373	859.3
1.374	852.9
1.375	849.8
1.376	841.7
1.377	840.1
1.378	836.6
1.379	827.5
1.38	825.3
1.381	825.3
1.382	824.7
1.383	823
1.384	823.6
1.385	825.7
1.386	824.8
1.387	818.7
1.388	814.8
1.389	815
1.39	814.6
1.391	811.6
1.392	802.7
1.393	800.1
1.394	795
1.395	791
1.396	785.5
1.397	780
1.398	774.1
1.399	767.5
1.4	764
1.401	759.4
1.402	754.9
1.403	753.4
1.404	750.6
1.405	749.9
1.406	747
1.407	744
1.408	745.4
1.409	745
1.41	742.6
1.411	739.1
1.412	735
1.413	732
1.414	726.1
1.415	722.6
1.416	717.4
1.417	714.7
1.418	713.6
1.419	711.5
1.42	707.4
1.421	703.3
1.422	703.6
1.423	701.2
1.424	698
1.425	694.4
1.426	693.2
1.427	692.4
1.428	690.8
1.429	688.1
1.43	685.3
1.431	681.3
1.432	677.1
1.433	673.6
1.434	670.9
1.435	669.7
1.436	665.9
1.437	664.7
1.438	662
1.439	659.5
1.44	659
1.441	656.3
1.442	652.3
1.443	651.1
1.444	648.8
1.445	648.5
1.446	648
1.447	646.8
1.448	646.7
1.449	645.6
1.45	646
1.451	642.9
1.452	642.8
1.453	640.2
1.454	638.5
1.455	637
1.456	634.8
1.457	633
1.458	630.8
1.459	627.9
1.46	624.8
1.461	623.9
1.462	621.6
1.463	619.3
1.463	617.6
1.464	617.1
1.466	615.2
1.467	613.7
1.467	613
1.468	611
1.469	609.7
1.47	609.5
1.471	607.1
1.472	605.4
1.473	605.5
1.474	605.1
1.475	604.6
1.476	602.9
1.477	601.1
1.478	599.9
1.479	599
1.48	596.3
1.481	595.8
1.482	594.9
1.483	594.5
1.484	594.7
1.485	595.8
1.486	595
